,Gene
1665,SPSB3
1666,SPTA1
1667,SPTB
1668,SPTY2D1
1669,SQSTM1
1670,SRC
1671,SRD5A3
1672,SRGN
1673,SRRM2
1674,SRSF9
1675,SS18L2
1676,SSTR4
1677,SSTR5
1678,ST13
1679,ST20
1680,STAB1
1681,STAC2
1682,STAM
1683,STARD3NL
1684,STC2
1685,STK11
1686,STK26
1687,STK38
1688,STMND1
1689,STRADB
1690,STRBP
1691,STRC
1692,STX18
1693,SUGP1
1694,SULT2B1
1695,SURF2
1696,SURF6
1697,SUSD1
1698,SUZ12
1699,SVEP1
1700,SYCE2
1701,SYCE3
1702,SYPL2
1703,SYT17
1704,SYT7
1705,SZT2
1706,TAF5
1707,TAP2
1708,TARS2
1709,TAS2R4
1710,TBC1D22A
1711,TBC1D22B
1712,TBCB
1713,TBX5
1714,TCAP
1715,TCF23
1716,TCF3
1717,TCIRG1
1718,TCL1B
1719,TCOF1
1720,TCP1
1721,TCP11
1722,TCTE1
1723,TCTEX1D1
1724,TDP2
1725,TDRD10
1726,TEAD1
1727,TENT5C
1728,TEX33
1729,TF
1730,TFCP2L1
1731,TFDP2
1732,TFR2
1733,TG
1734,TGFB2
1735,TGFB3
1736,TGFBR3
1737,TGIF2-RAB5IF
1738,TGS1
1739,THBD
1740,THBS3
1741,THBS4
1742,THOC1
1743,THOC2
1744,THPO
1745,THSD4
1746,TIAF1
1747,TIE1
1748,TIMM13
1749,TJAP1
1750,TLR9
1751,TM6SF2
1752,TM9SF4
1753,TMC8
1754,TMEFF2
1755,TMEM102
1756,TMEM106B
1757,TMEM150B
1758,TMEM151A
1759,TMEM160
1760,TMEM161A
1761,TMEM176A
1762,TMEM181
1763,TMEM184C
1764,TMEM217
1765,TMEM218
1766,TMEM233
1767,TMEM236
1768,TMEM248
1769,TMEM249
1770,TMEM256
1771,TMEM256-PLSCR3
1772,TMEM270
1773,TMEM51
1774,TMEM70
1775,TMOD2
1776,TMPRSS6
1777,TNFAIP8L2
1778,TNFRSF10B
1779,TNFRSF11B
1780,TNFRSF13B
1781,TNFRSF17
1782,TNFSF11
1783,TNKS2
1784,TNR
1785,TNRC6A
1786,TNS3
1787,TOMM40
1788,TOP3A
1789,TPCN2
1790,TPGS1
1791,TPH2
1792,TRAF4
1793,TRAIP
1794,TRAPPC1
1795,TRAPPC6A
1796,TREM2
1797,TREML1
1798,TRIM10
1799,TRIM27
1800,TRIM3
1801,TRIM31
1802,TRIM38
1803,TRIM40
1804,TRMT112
1805,TRMT1L
1806,TRPM8
1807,TRPV5
1808,TRRAP
1809,TSBP1
1810,TSC1
1811,TSC2
1812,TSC22D4
1813,TSLP
1814,TSN
1815,TSPAN8
1816,TSSK4
1817,TSTA3
1818,TTC19
1819,TTC21A
1820,TTC22
1821,TTC23
1822,TTC39B
1823,TTI1
1824,TUBA4A
1825,TUBA8
1826,TUBB1
1827,TUBB3
1828,TUBGCP3
1829,TULP2
1830,TUT7
1831,TWNK
1832,TXLNA
1833,TXN
1834,TXNDC11
1835,TXNIP
1836,TYK2
1837,TYMP
1838,U2SURP
1839,UBA7
1840,UBAC2
1841,UBB
1842,UBE2A
1843,UBE2L3
1844,UBE4B
1845,UBIAD1
1846,UBXN10
1847,UFSP1
1848,UGT1A1
1849,UGT1A10
1850,UGT1A3
1851,UGT1A4
1852,UGT1A5
1853,UGT1A6
1854,UGT1A7
1855,UGT1A8
1856,UGT1A9
1857,UGT2B7
1858,UGT8
1859,UMOD
1860,UNC119
1861,UPK2
1862,USP40
1863,USP54
1864,UTP4
1865,UTS2B
1866,VAC14
1867,VASN
1868,VCAN
1869,VCX3A
1870,VDAC3
1871,VDR
1872,VEGFC
1873,VEGFD
1874,VPS16
1875,VPS33A
1876,VPS35
1877,VPS54
1878,VPS9D1
1879,VWA3B
1880,VWA5B1
1881,WAS
1882,WASHC2C
1883,WASHC4
1884,WDHD1
1885,WDR1
1886,WDR6
1887,WDR70
1888,WDR76
1889,WDR83OS
1890,WDR86
1891,WDR90
1892,WIPF2
1893,WLS
1894,WNK4
1895,WNT1
1896,WNT10A
1897,WNT16
1898,WNT4
1899,WNT7A
1900,WRAP53
1901,XAGE2
1902,XDH
1903,XRN2
1904,XRRA1
1905,YIPF3
1906,YJEFN3
1907,YTHDC2
1908,YWHAZ
1909,ZAN
1910,ZBTB16
1911,ZBTB20
1912,ZBTB4
1913,ZC3H12B
1914,ZC3H18
1915,ZCCHC12
1916,ZCCHC24
1917,ZCRB1
1918,ZDHHC4
1919,ZFAND5
1920,ZFAT
1921,ZFP36
1922,ZFYVE16
1923,ZIK1
1924,ZMAT2
1925,ZMYM3
1926,ZMYM6
1927,ZNF10
1928,ZNF12
1929,ZNF140
1930,ZNF146
1931,ZNF17
1932,ZNF180
1933,ZNF200
1934,ZNF213
1935,ZNF219
1936,ZNF222
1937,ZNF227
1938,ZNF229
1939,ZNF250
1940,ZNF251
1941,ZNF26
1942,ZNF3
1943,ZNF316
1944,ZNF343
1945,ZNF366
1946,ZNF383
1947,ZNF410
1948,ZNF420
1949,ZNF436
1950,ZNF467
1951,ZNF469
1952,ZNF518B
1953,ZNF524
1954,ZNF561
1955,ZNF585B
1956,ZNF620
1957,ZNF627
1958,ZNF630
1959,ZNF646
1960,ZNF670
1961,ZNF672
1962,ZNF678
1963,ZNF711
1964,ZNF714
1965,ZNF729
1966,ZNF740
1967,ZNF787
1968,ZNF799
1969,ZNF800
1970,ZNF805
1971,ZNF831
1972,ZNF852
1973,ZNF853
1974,ZNRD1
1975,ZPR1
1976,ZSCAN10
1977,ZSCAN2
1978,ZSCAN30
1979,ZSCAN31
1980,ZSWIM1
