,Gene
392,CLPX
393,CLSPN
394,CLU
395,CMIP
396,CMPK1
397,CMYA5
398,CNN1
399,CNOT1
400,CNOT8
401,CNPY2
402,CNTROB
403,COL11A2
404,COL16A1
405,COL17A1
406,COL1A1
407,COL21A1
408,COL25A1
409,COL27A1
410,COL4A3
411,COL7A1
412,COL8A2
413,COLGALT2
414,COMMD1
415,COMMD10
416,COPG1
417,COPS3
418,COQ4
419,CORO1B
420,COX16
421,CPNE1
422,CPNE7
423,CPO
424,CPT1A
425,CPXM1
426,CPZ
427,CRAMP1
428,CRBN
429,CREB3L1
430,CREB3L3
431,CREBZF
432,CRHR1
433,CRIP3
434,CRISPLD2
435,CRLF3
436,CROCC
437,CRTAC1
438,CRY2
439,CSF1R
440,CSF2RB
441,CSF3
442,CSF3R
443,CSGALNACT1
444,CSNK1A1
445,CSNK2B
446,CSPG4
447,CST2
448,CST3
449,CST9
450,CST9L
451,CSTF1
452,CT45A10
453,CTDSPL2
454,CTNNA2
455,CTSA
456,CTU2
457,CUBN
458,CUL3
459,CUL4A
460,CUL7
461,CUX2
462,CXCR2
463,CXCR5
464,CXXC4
465,CYB561A3
466,CYB561D2
467,CYLC2
468,CYP11A1
469,CYP11B1
470,CYP1A2
471,CYP21A2
472,CYP24A1
473,CYP27B1
474,CYP2A6
475,CYP2B6
476,CYP2C18
477,CYP2R1
478,CYP3A7
479,CYP3A7-CYP3A51P
480,CYS1
481,CYTL1
482,DAAM2
483,DAGLB
484,DAXX
485,DBH
486,DBT
487,DCAF12
488,DCDC2
489,DDR1
490,DDR2
491,DDX42
492,DDX5
493,DEF6
494,DEFB106B
495,DEFB114
496,DENND2C
497,DENND6A
498,DET1
499,DEXI
500,DGAT2
501,DGKA
502,DGKD
503,DGKH
504,DGKZ
505,DHCR7
506,DHRS1
507,DHRS13
508,DHRSX
509,DHX16
510,DHX38
511,DIAPH1
512,DKK1
513,DLX3
514,DMRTB1
515,DMTF1
516,DNAH1
517,DNAH12
518,DNAH2
519,DNAH3
520,DNAH8
521,DNAJB8
522,DNAJC13
523,DNAJC15
524,DNAJC19
525,DND1
526,DNM1L
527,DNM2
528,DNMT3A
529,DNMT3L
530,DOCK6
531,DOCK8
532,DOK2
533,DOT1L
534,DPEP1
535,DPP3
536,DPP4
537,DPP9
538,DPPA4
539,DPYSL2
540,DRD5
541,DUSP16
542,DUSP23
543,DUSP9
544,DYNC1H1
545,DYNLL2
546,DYNLT3
547,E2F2
548,E2F4
549,E4F1
550,ECE1
551,ECHDC1
552,ECSCR
553,EDEM1
554,EEF1AKMT4
555,EEF1AKMT4-ECE2
